FileName,Products;;;;;;;;;
710020-020,t789:1;b456:5;c1234:10;;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC16Y6,GRC16Y6:0.02;90PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC182C,GRC182C:0.02;90PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC182G,GRC182G:0.02;90PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC182L,GRC182L:0.02;90PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC182Q,GRC182Q:0.02;90PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC182V,GRC182V:0.02;90PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC183D,GRC183D:0.02;115PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC183H,GRC183H:0.02;150PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC183Q,GRC183Q:0.02;150PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC183X,GRC183X:0.02;200PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC184L,GRC184L:0.02;250PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC188C,GRC188C:0.02;115PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC188D,GRC188D:0.02;115PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC188E,GRC188E:0.02;115PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC188F,GRC188F:0.02;115PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC188G,GRC188G:0.02;115PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GRC228C,GRC228C:0.02;150PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC148C,GTC148C:0.02;115PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC148F,GTC148F:0.02;115PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC162C,GTC162C:0.02;90PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC162G,GTC162G:0.02;115PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC162J,GTC162J:0.02;115PLUSF20:1;L160:0.01;S429F2J16:2;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC162L,GTC162L:0.02;115PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC162V,GTC162V:0.02;150PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC163A,GTC163A:0.02;200PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
